anchor,entailment,contradiction
"就是说他作为一个当时还应该是外籍华人,来说香港不能乱,要珍惜这个祖国等等",他是爱国的,他对香港问题无动于衷
"屋里是黑的,只有窗外传进的鸟叫,才告诉她这是个白昼的下午",她是醒着的,她在室外
"广大的县乡镇很多那些无名的人士他们现在有了现代科技的帮助,他们也有了记录并且上载到人类数据库的一个权",之前进入人类数据库的门槛很高,这个权利只有名人才能拥有
"广泛开展全民健身活动,努力提高竞技运动水平,逐步改善国民营养水平和健康素质",全民健身运动有利于健康社会建设,全民健身与竞技运动矛盾
我可以说我正在经历这种情况,我了解之前谈论的情况,我不了解谈论的经历
"我告诉你,你既然不看,我就要多讲",我很有主见,你已经完全接受了我要讲的内容
"我爸来,然后别人请他吃饭么.",有可能会有人请客,我不喜欢我爸来
"我现在在这边,就是说找工作.",工作可以作为借口,找工作没意义
所以你叫我看得太远了,要看的目标在近处,目标在更远处
改革是今年政府工作的首要任务,改革十分重要,政府反对改革
"是因为最先的时候,台南台独的立委说陈星搞出这个事情来,它的背后其实马英九应该负责",陈星与谈论的事情直接相关,陈星与这件事毫无关系
朋友要不九七年回来一道到香港.,我和朋友交情不错,现在是九九年
"比如说为什么一个经济学家一出场还要配乐,我主持过很多这样的",主持往往离不开音乐,经济学家出场禁止放音乐
海部组阁困难说明了什么,困难的原因还在讨论,组阁已经被放弃
"焦裕禄用生命绘制的那张蓝图,今天已经成为兰考大地的现实",焦裕禄的设想已经实现,兰考还是老样子
第二天全部都涨回了,之前数字跌了,只涨回来很小的部分
组织返乡农民工参与农村公共设施建设,农村有进城务工人口,农村公共建设已完成
"育儿园也放了,但是他们还可以去啊.",放假不限制进入,他们讨厌育儿园
"身上裹一件工厂发的棉大衣,手插在袖筒里",包的挺严实,这人穿的很薄
这个警察当时说我没说过,我记得这个警察说过的话,警察认为我说了某句话
"这时,萨沙体味到一种精雕细作的人生的快乐",他感动满足,他闷闷不乐
"那我给他提个意见,什么顶配、高配抽象一点,形象化,头一级叫凤凰配、鸳鸯配、山鸡配,然后野兔配,耗子配",形象化的东西更易理解,凤凰是低档的形象化
"那木头刻的指甲大小的茶壶茶盅也有的卖,用那茶壶茶盅玩过家家的女孩都是小时候的王琦瑶,长大就不见了的",指甲大小茶壶用来过家家,没人玩过家家了
"《法律援助条例》的实施,为困难群众解决打官司难提供帮助",目前有困难群众,"实施《法律援助条例》,实际上是披着羊皮在损害困难群众的利益"
"一家建筑单位表示:能挺两年足矣,50年不坏,有什么用呢",这东西50年内不会坏,这东西用了一年就坏了
也就是从一个极端走向另一个极端,这有极端,算来算去只有一个极端
五是加大扶贫开发力度,目前有贫困人口,全部人口早就脱贫了
"但是,在当前的特定条件下,发生这种危险的可能性不大",当前不太可能有危险,当前条件总是固定的
你们俩最近这CP不错啊,你们是cp,你们是陌生人
"你是不是现在把哥们当成扶贫对象了,你每次来做节目",你做过节目,你和任何人的关系都挺差的
"保持合理投资规模,优化投资结构",目前有投资,政府一直倡导大量的扩大投资规模
"其实过去老说中俄,中国和苏俄之间好像彼此互相影响,大家好像讲革命,讲什么这方面讲得比较多",过去中国和苏俄之间有联系,中国和苏俄是在今天才开始有联系
"再说因为我是炒作,我说的话就不值得重视吗",我说了话,我一直沉默着
几位矿工交头接耳地说,矿工能说话,"一个矿工一直在自言自语,其他矿工默不作声"
加强天然气、煤层气、页岩气勘探开采与应用,加强资源的探测,政策禁止任何资源的开采
"另外电告凉城县政府相交通局,派人派车沿途接应",凉城县政府能够派人派车,凉城县是一个与世隔绝的地方
"听到这个名字,王琦瑶把脸转到一边,背着严师母,停了一会儿才说:是呀,我也有好久没看见他了",王琦瑶认识他,王琦瑶一直和严师母光明正大地说话
"呃,周末的时候我就回家.",我周末回家,我只有公司宿舍一个地方可以用来睡觉
"哎,家里都没有什么事儿.",家里没什么事,家里全是事
"哟,那么高啊,三十八度啊.",三十八度算高的了,三十八度真低啊
"在日常工作中,有的难题确实是需要领导人亲自动手去解决的",目前有领导人,一切都很好
"在现场我看到,一个个崭新的公文箱,在工人们的锤子下面很快变成一堆堆碎片",公文箱是崭新的,我是盲人
"它们是多么傲慢,可也不是不近人情,否则它们怎么会再是路远迢迢,也要泣血而回",它们是傲慢的,它们一直呆在之前的地方
将农村部分计划生育家庭奖励扶助标准由人均600元提高到720元,农村计划生育家庭奖励扶助标准提高了,所有家庭都生了一大堆孩子
"我觉得怎么穿了一身大红裙子,要从武汉飞到巴黎,还是一家三口",武汉可以飞到巴黎,目前国际航班因为疫情原因全部取消
我觉得所有这些要全民去群起,我认为要全民去群起,我觉着就只有这一事要全民去群起
最后不还是靠我自己解决,我自己解决,最后是小红解决的
"王琦瑶不由心头火起,脸红着,却笑道:我又不是蒋丽莉那样的艺术人才,会唱什么",王琦瑶脸红了,王琦瑶和蒋丽莉是陌生人
"王琦瑶与张永红对视一眼,有一种同情在两人之间升起,很快地闪开了眼睛",王琦瑶和张永红互相同情,"王琦瑶看了一眼这个女人,鄙夷地离开了"
"王琦瑶在打针的同时,还从里弄办的羊毛衫加工厂里接一点活",王琦瑶在打针,王琦瑶身体特别健康
"王琦瑶当然也不会认真,只是有点喜欢自己和阮玲玉的相像",王琦瑶和阮玲玉有相像的地方,王琦瑶超级喜欢自己和阮玲玉的相像
"王琦瑶本能地往下缩了缩,反是画蛇添足",王琦瑶有意识,王琦瑶依靠经验往下缩
第一部 八、照片,目前有照片,目前处于原始社会
统筹农村转移劳动力、退役军人等就业工作,农村有劳动力和退役军人,"农村人全都搬到城镇居住了,变成城市户口了"
"老,老骂我怎么不回信.",骂了不止一次,"骂了我后,那人还是回消息了"
"老婆一想心思,小林心里就有些发毛,不知老婆心思想过以后,会不会又提出什么新的话题",老婆不止提了一次问题,"老婆提了一次问题,就走了"
"虽然是高兴事,可情绪却低落了",有一件事让人高兴,高兴事在任何时候都能让人情绪高昂
"街上的情景总有些奇特,有一点力不从心,又有一点言过其实",街上的情景不太好描述,街上的情景根本不能用“奇特”来形容
"譬如说,公民的素质,习俗的高雅,乃至设备的先进,管理的科学等等,都要与此相适应",不止一个因素要与此相适应,只有一个因素与此相适应
"记者细细观察,排队自由争购1990年国库券的,大部分是四五十岁的中年人,也有不少是上了年纪的老伯伯",记者观察了一件事,排队自由争购1990年国库券的全都是四五十岁的中年人
"这将严重损害中美两国间正常的文化教育交流,是违背中美两国人民的根本利益的",中美两国间有文化教育交流,这其实维护了中美两国的根本利益
"这时,王琦瑶看见他西装袖口已经磨破,一层变两层,指甲也长了没剪,心里有些作呕,便放下筷子",他穿了西装,他穿着短袖
"适当提高金融机构存款准备金率,控制货币信贷过快增长势头",控制货币信贷过快增长,控制货币信贷增长
那个飞机票我们一个人的往返才一千块钱.,目前可以坐飞机出行,现在还在原始社会
"那后弄堂,又是个藏污纳垢的场所",不止有一个藏污纳垢的场所,后弄堂空空如也
"那晒台上又搭出半间被屋,天井也封了顶,做了灶间",天井封顶了,晒台还是老样子
都是叫岁月侵蚀的,这变化了,全是人力弄的
"重点引进先进技术装备,增加关键零部件元器件、重要能源资源和原材料进口",目前有重点内容,我们要严格控制重要能源资源的进口量
"不一定,就是说你不一定要采用很激烈的形式去处理这些事",还有别的方式去处理这件事,处理这件事情只有一种形式
"中间有一个女士是她的一个朋友已经死了,她还在那儿舍不得放手,在那拽着,一起漂着",一个女士牵着一个死者的手,从未有人死过
"他明白,自己是在落泪",他对自己有比较清楚的认识,没有任何人落泪
"任何社会动荡和混乱都不利于建设和改革的进行,严重损害全国各族人民的根本利益,是违背广大群众的心愿的",从未有过社会动荡和混乱,各族人民不算是群众
会谈还涉及中东地区的和平进程以及以色列为破坏和平倡议而施展的各种手段,有人举行了会谈,会谈没有主体和内容
"但是男生也很少就直接从背后拉你的拉链,很少这样干吧",被拉的衣服上有拉链这一设计,从未有过拉链这一设计
"你需要的话,我可以跟你寄过去的.",你和我在不一个地方,你手头拥有所有他需要的东西
"健全激励约束机制和尽职免责机制,营造干部愿干事、敢干事、能干成事的环境",有激励约束机制,干部不需要干事
像扬起的沙粒一般,世界上有沙粒,形容主体很重
"公路桥和铁路桥的100个桥墩,已完成62个,正施工的35个",公路桥和铁路桥在这里是一起计算的,有60个桥墩已经完成
"其中,全民所有制单位投资规模压缩510亿元,减少19%",当下投资规模大于510亿元,没有元这一货币单位
"加快收费清单“一张网”建设,让收费公开透明,让乱收费无处藏身",有收费项目,没有任何收费项目
"北约人士说:我们十分担心苏联将顶不住比预计更快地撤军的压力,因为我们会因此失去对整个进程的控制",北约对整个进程有所控制,没有苏联这个国家
"反正每年九月都是,九月一号是那个.",每年都会有一个九月,没有九月一号这一天
"可后来,程先生干脆设消息了,蒋丽莉不由着了慌,开始给程先生打电话",蒋丽莉有电话号码,蒋丽莉不知道打电话这一联系方式
"同时,要努力降低成本,积极销售粮食",做这件事有成本,粮食一直是不要钱的
"因为你这个房租你,你交了是白交啊.",你与交房租这个动作有关系,你不知道房租的存在
坚持实行企业、社会、财政各负担三分之一的办法,有了一个明确的方法,负担的部分和责任尚未厘清
工业生产、交通运输和邮电事业持续发展,工业生产仍有可以进步的空间,交通运输在100年后才开始出现
"建设精神文明、振兴民族文化,现在在我国是与经济现代化一起抓的大事",我国重视经济现代化,经济现代化已经完成
您昨天的解释就解释了一半,两人身份不对等,您已经全部解释完成了
我国60岁以上人口已达2.5亿,有人活到了60岁以上,所有人没有年龄和岁数划分
所以它每个人的头上都戴了头盔.,人有头,头盔尚未发明
晁友仁支持这项改革措施,晁友仁对这项改革措施持支持态度,全世界上下不需要任何改革
"王琦瑶惯在李主任的怀里,心是落了他的,很塌实的感觉",有王和李这两个姓氏,王琦瑶对李主任抱有很大的怀疑
"白宫发言人菲茨沃特已明确指出,多国部队不会立即大规模撤军",白宫有发言人,多国部队之前没有进行大规模布军
"窗帘上透进些微天光,映在王琦瑶的脸上",有王琦瑶这个人,王琦瑶完全暴露在室外
第一部 七、开麦拉,有好几部相关的东西,第一部没有分节
"组织科研攻关,在诊断、治疗、防疫等方面取得重要进展",这次攻关是多个方面一起进行的,"此次攻关仅是个人行为,没有任何组织"
而且他当时他哎他是你的组长.,他和你认识,他和你不认识
"花开依旧,人去楼空",花还开着,第一颗花的种子刚被种下
计算所政策所都是自己挣钱.,计算所和政策所都需要挣钱,从未有过钱这一概念
"认真贯彻《证券法》,规范和发展证券市场",《证券法》已经被应用,《证券法》没有任何指导作用
"车走后,狼藉一片",车已经不在这一地方了,从未有过不整洁的地方
"还到处跑书店为你买书,鲜花应属于苦心培养你的老师",老师苦心培养了你,没有老师这一职业
"还有那些缀了珠子的手提包,散了串的珍珠项链,掉了水钻的胸针,蛀了洞的法兰绒贝蕾帽",贝雷帽是法兰绒的,珍珠尚未被发现
"这一切都说明,在具备雄厚经济实力的今天,日本希望通过对世界新秩序形成作出贡献而成为政治大国",日本已经具备雄厚经济实力,成为政治大国不需要任何条件
"这时候,连鸽子都没有醒,第一部牛奶车也未起程,轮船倒是有一艘离岸,向着吴湖口的方向",轮船已经被创造出来了,轮船背向吴湖口的方向
"这次一块带来,我知道,知道.",上次只带来了部分东西,我不知道任何情况
"一些地区大气、水、土壤等污染严重,节能减排任务艰巨",一些地区大气污染严重。,这些地区没有大气污染。
"二是以市场为导向,促进多种形式的产学研结合",产学研结合应该以市场为导向。,"产学研只能是三个独立环节,不能结合。"
"今天晚上么,准备出去吃饭了,就,嗯.",今天晚上有外出计划。,今天晚上准备在家吃饭。
"今年中央财政预算赤字1503亿元,比去年增加了,但发债规模并没有扩大",今年中央没有扩大发债规模。,今年中央扩大了国债发行规模。
他也高他也挺高兴的呃呵.,他心情不错。,他感到难过。
他们销售的电器是国家早就明令不准面市的,国家对电器的销售有所规定。,他们没有销售电器。
"他闭着眼睛,感觉到有阳光照在脸上,也是有些疲累的暖意",他没睁眼睛。,正在下雨。
"但与此同时,我们在对工作的指导上也有缺点和失误",我们指导了工作。,我们对工作的指导非常完美。
你以后看做什么论文你好.,你以后需要写论文。,你不需要做论文。
"你这更好的手段,如果碰到上次美联航的那个",此人认识一个美联航的人。,此人从来都不认识美联航的人。
"再说,又能往哪里去爆发",目前还没有爆发。,这个人一口咬定不会爆发。
"几分钟后,他走出办公室,士兵们向他欢呼",他几分钟前在办公室里。,他几小时后才走出办公室
"到65(岁),以前65是老年,20年前的高龄是65(岁),现在65(岁)是中年",现在65岁是中年。,20年前20岁是高龄。
加快中部地区发展是区域协调发展的重要方面,加快中部地区发展属于区域协调发展的一个部分。,要实现区域协调发展必须放慢中部地区发展步伐。
"可是你说它又特别,您说它是有文化自信,但是你看得诺贝尔奖的,她写到的很多纪实文学,白俄罗斯",说话者认为它特别。,她没得过诺贝尔奖。
"可能我还能帮,联系联系.",他有想要帮忙的意愿。,他完全没有想要帮忙的意愿。
"呃,无所谓你那个不用办.",你那个办不办无所谓。,那个办不办对说话的人很重要。
"哎哎哎,你你爸爸来啦.",你有爸爸。,你爸爸和你形影不离。
"哦你要去泰山,咱们去旧金山哈.",他们去的不是同一个地方。,咱们去泰山。
因为那我十五号的香港飞机嘛.,我15号会去机场。,我有恐高症不敢坐飞机。
"在我们的国家,各行各业都同社会主义、共产主义的大目标连在一起,各个岗位都是为人民服务的阵地",在我们国家为人民服务有广泛的阵地。,各行各业都朝着资本主义的大目标奔去。
"坐着无话,蒋丽莉便起身到角落弹钢琴,东一句,西一句,琴声淙淙,毕竟是一点鼓舞,也是一点推动",蒋丽莉的琴声是鼓舞和推动。,"角落里只有一座落地钟,没有钢琴。"
"她几乎要成为蒋家的一员,到哪都跟着的",蒋家人走到哪她都跟着。,她一直都是蒋家的一员。
"心里就有些感激,又有些不服,好像被他让了一步棋的感觉,就有意地说起长脚",心里有被让了一步棋的感觉。,说起长脚是无意之举。
"我也曾经想去自首,但县里党政领导接到对我的举报后就通风报信给我,要保我,要我算了,不要泄漏出去",有人举报了我。,领导怪我泄露了出去。
"我是那个,那个,那个威海回来.",我目前不在威海。,我一直住在北京。
"所以,有他和没他还是不一样的",他在这件事中有别人不能替代的地方。,有他没他都一样。
支持工会、共青团、妇联等群团组织更好发挥作用,群团组织获得了支持。,妇联不属于群团组织。
"是扶摇在时间的河流里,所有的东西都沉底了,而它却不会",时间就像河流。,所有的东西都不会在时间的河流里沉底。
"没-对,那个不锈钢的啦.",那个东西不会生锈。,那个东西生锈了。
"深化利率市场化改革,降低实际利率水平",实际利率水平目前还不够低。,现在利率水平亟需上升。
"王琦瑶便不再问他,兀自到厨房去烧晚饭",王琦瑶会烧饭。,王琦瑶不会做饭。
瑶胞给省委书记写信,瑶胞写了信。,省委书记不收信件。
"老太太指着一个人说,是他呼唤我们的",老太太说有人呼唤了她。,老太太没有指认别人。
"蒋丽莉的不见就好像是一种谴责,此情此景,这谴责是叫他们永世不得翻身的",这谴责叫他们永世不得翻身。,蒋丽莉没有失踪。
说明得欢迎查老师常回中国,"如果查老师常回中国,是会受到欢迎的。",查老师被限制入境中国。
"起初,他们不敢相信是真的,后来,确信无疑了,便陷入一筹莫展",他们曾经有过怀疑。,他们没有陷入一筹莫展。
"这不仅是当前解决供需矛盾的迫切需要,也是缓解我国资源环境压力的长远之计",这对缓解我国资源环境压力有重要意义。,供需矛盾不需要通过这来解决。
这么答题您也是白卷啊,有人交了白卷。,这个人不需要答题。
"这也是上海的小姐同其他小姐的不同之处,她们是主动权在握,相信人的力量",上海的小姐和其他小姐有不同之处。,上海小姐和其他小姐没什么不一样。
"这样的菜,是在家常与待客之间,既不见外又有礼貌,特别适合他们这样天天见的常客",他们经常见面。,这样的菜就是他们的家常菜。
"送走送亲人,宋村长邀记者一块儿找新娘讨教棉花经",这个村有一场婚礼。,宋村长没有邀请记者。
"门口倒是有几个幼儿园,有外单位办的,有区里办的,有街道办的,有居委会办的,有个体老太太办的",门口有不止一个幼儿园。,居委会不办幼儿园。
"随着一个个困难被克服,希望也就会一个个变成规实",在希望变成现实的路上还有需要克服的困难。,没有希望会变成现实。
集中力量攻克一批关键性技术,有一批关键性技术在等待攻克。,关键性技术不需要多少力气就能轻松攻克。
"三幺三七四七,零九二五.",目前发明了数字,当前缺乏计数方法
人们不禁要问:沈太福拿10亿多元集资款都干什么去了,人们不知道沈太福拿了钱干了什么,沈太福总共拿了一亿的集资款
"他就建议取消这个超卖,不要搞这个",他建议了一件事,他根本无权建议
"他自己好像说过我是华人,所以他就把我挑出来,这个是不一定的",我是华人,他和我完全是陌生人
企业富余的人力、物力需要在确保油气生产的前提下进行多元开发,"首先要保证油气生产顺利进行,之后开发人力物力",企业是印刷厂
"但是,清理、压缩的目标尚未达到,任务还十分艰巨",目标截止到现在没有达到,我们所有的目标都被搁置了
"你看每一次带他去医院看病都重兵把守,因为他曾经上一次坐牢的时候,利用看病之际拿两个玻璃瓶子就跑了",他上一次从牢房逃走了,他每次都是一个人去医院
像您们是受武协领导的,您们和武协有联系,"从您们之中,诞生了武协"
"八天就可以做完,呃才能做完.",最少需要八天时间做完,最多要八天做完
"双方都很恋战,不急于决出胜负,只顾领略乐趣,就像一场表演赛",双方在战斗的过程中有乐趣,"双方一直猛烈的搏斗,不分你我"
"反是萨沙这个生人,并不觉得有什么拘束,还有几句玩笑话,和这晚的压抑沉闷唱着反调",萨沙是陌生人,萨沙在这晚一直拘束着自己
"台湾经济部官员解释这些举措时说,是为了防止将来台湾经济受制于中共",台湾官员不愿意使台湾经济受到限制,这些举措全部牵涉到台湾的历史文化
"哎,住过去了,住-住过去了.",有人住过去了,任何人都拒绝住过去
"哎,那个,这个,这个.",不止有一个,这里只有那个
"唯有从严要求,才是我们人民军队的本色",人们军队要从严要求,军队只保护政府的安危
"在革命中学习革命,在建设中学习建设,我们需要用新的内容来发展和充实延安精神",目前有革命和建设,延安精神在之后10年才会出现
"大力发展特色现代农业,扶持农产品精深加工和销售,发展农村二三产业,加快小城镇建设,壮大县域经济",政策鼓励农村经济发展,政策强调农产品直接进行销售从而获取利润
好象我们单位效业也可以.,我不确定我们单位效业也可以,我们单位效业肯定可以的
"实施稳定外贸增长的政策,改善海关、检验检疫等监管服务",政策鼓励外贸增长,"政策鼓励外贸大量增长,越多越好"
实施重点流域、区域水污染防治规划,水污染要分流域、区域治理,目前只实行水污染治理的整体规划
"实施鼓励进口政策,增加国内短缺产品进口",政策鼓励进口,国内的产品一直都有充足的储备量
"对,他里面邮件里面说了人家告诉他是跟希拉里有关,但他去了一场空",他收到了邮件,其实明明和特朗普有关
"对,捏,事先实现虽然有警告,但是我们到时候都爽了",之前有过警告,我们一直都很爽
"开业之初,商场经营的确是百分之百的国货,准确地说,全是产自中国大陆的商品",商场里全是产自中国大陆的商品,商场里全是产自港澳台的商品
"怎么说,比上不足,比下有余哦.","中间段比上不足,比下有余",比上足够了
"我们武汉最近竟出事儿,教育界的,是吧",武汉最近出了不止一出事,武汉的教育界还是老样子
我希望看到更多这样一些讨论,当前有过讨论,以前这样的讨论已经达到完美了
战火映红巴格达夜空,巴格达有战火,战争在下午就结束了
"所以,我觉得基本面还是赞赏",目前有基本面,基本面还没问世
"挺好挺好,身体方面,对.",有个人身体挺好的,哪里都很差劲
"新型城镇化扎实推进,近1400万农业转移人口在城镇落户",城镇化推进,新型城镇化受到了重大的阻碍
日美两国间存在的主要问题是贸易不平衡,日美之间贸易不平衡,全球的贸易不平衡问题早就被解决了
"李放立即进行调查,发现不少工人戴上这种眼镜几天后就出现头昏、恶心的不良反应",工人戴过这种眼镜,工人戴上眼镜一个月后才出现头昏、恶心的反应
林小姐高兴地订下了16日从柳州转郑州的车票,林小姐订了车票,"林小姐悲伤地订了票,她还是要离开这个充满回忆的地方"
"洪都拉斯是中美洲最贫困的国家,经济和社会问题严重",洪都拉斯经济和社会问题严重,洪都拉斯在亚洲
深圳的面貌又发生什么样的变化,深圳的面貌不止发生了一次变化,"自从10年前深圳发生变化后,现如今一直是这个样子"
"然后我听冯小刚旁边来一句说,别出事,别出事",冯小刚在我旁边,旁边只有李小刚
"然而你现怎么说呐,你现在的东西.",你现在说不了,你就陈述就够了
"王琦瑶住过去之后,几乎是义不容辞的,当起了半个主子,另半个是老妈子",王琦瑶不是主子,王琦瑶讨厌干家务、做饭
"穷的人拿到了一个自以为是富贵的东西,然后为之付出了生命的代价,但是最后说是假的",穷人以为这东西富贵,穷的人最惜命了
"等她吃下药去,又含了一块糖去苦味,就将那两把钥匙放到桌上,说是老克腊让他顺便捎来的",钥匙是他捎来的,他就拿了一把钥匙过来
"老婆所在的单位,和小林的单位差不多,让人愉快的时候不多",老婆的小林的单位有相同点,老婆的单位可让人愉快了
"而且是被一个日本男人,说是跟那个姐姐有过点什么情感,金钱纠葛,你整天做新闻评论,你对这事了解什么",日本男人和那个姐姐有纠纷,那个姐姐和日本男人是陌生人
"这个我必须证明,放走丁义珍的不是美联航","我来证明,放走丁义珍的不是美联航","丁义珍想了很多方法,最终靠着自己的机智逃走了"
"这天,薇薇睡到中午还不起来,两顿饭都没吃",薇薇两顿饭都没吃,薇薇这天只吃了午饭
"这里不是商场,但竞争却已展开",这和商场一样有竞争,竞争在明年才会展开
"逐步实行复式预算,把经常性财政开支与政府投资区别开来",复式预算要逐步实行,财政预算在去年就空了
"那福柯就说,话语即权力","福柯说,话语即权力",福柯默不作声
"2014年,我国面临的形势依然错综复杂,有利条件和不利因素并存",2014年我国发展有利也有不利,"2014年经济发展很好,一切都在朝着好的趋势发展"
"一九四六年的和平气象就像是千年万载的,传播着好消息,坏消息是为好消息作开场白的",坏消息之后是好消息,一九四六年非常混乱
"七月二十九号,然后信里.",信里说了一件事,"现在谁还写信啊,全都用微信了"
"三百一,刨掉,跟你肯定有二百.",三百一被刨掉了,说三百一就三百一
"于是,李维章一槌定音",这事之前没有一槌定音,其实一槌定音的是李维章的老婆
今年要全面完成规划支持的2.9万所乡镇卫生院建设任务,今年有可能完成规划支持的乡镇卫生院建设任务,今年只重视乡镇的学校建设任务
"他上街一说,我这凡然老弟也动了心",我有个凡然老弟,凡然老弟一直压抑着自己的情感
"他突然地昂起脸,爆发道:什么孩子,孩子的,不要这么叫我",他昂了脸,他一直昂着脸说话
"企业吸纳符合条件的高校毕业生就业,可按规定享受相关就业扶持政策",当前有相关就业政策扶持毕业生就业,就业扶持政策要等到明年才能出台
"何况你找多了,证明你认识的人多,显得你很高明,既然你高明能再找人,何必再找我",你来找我了,你已经找到合适的人了
"全面实行城乡免费义务教育,对所有农村义务教育阶段学生免费提供教科书",城乡有免费义务教育,我们对所有学生都免费提供教科书
全面开展蓝天、碧水、净土保卫战,蓝天、碧水、净土当前还有,现在全部都是蓝天、碧水、净土了
"出一-这,出一身汗回来.",回来的时候身上有汗,我一直没动过呀
"同时,要按照打破垄断、鼓励竞争的原则,通过联合、兼并、改组,形成技术水平高、有竞争能力的企业集团",要通过一定方式建设有竞争能力的企业,企业集团目前全部被国外公司收购
"同时,重视与支持基础研究和应用基础研究工作",基础研究工作要重视,我们做重视和支持基础研究和应用基础研究这一项工作就行了
"向全国各族人民,各民主党派、各人民团体和各界人士,对政府工作的信任和支持,表示诚挚的感谢",之前各民主党派、各人民团体和各界人士都信任和支持过政府工作,民主党派处处让政府难堪
"呃,那,那我就先-先不回去.",我先不回去,"我妈来接我了,我必须要回去了"
"塘格木农场医院在地震中全部倒塌,医务人员的家也全部消失",医务人员没家了,医务人员的家完好无损
"她和吴佩珍的关系是彼此没有责任的关系,全凭的是友情",她和吴佩珍是友情关系,她们的关系早就从友情上升到亲情的高度了
"她照例是不会对学习有什么兴趣的,政治上自然也没什么要求",她在政治上没要求,她力争成为一个优秀党员
"如今似乎到了动它们的时候,夜深人静,王琦瑶从五斗橱的抽屉里取出它来,放在桌上",之前没动过它们,王琦瑶中午的时候取出来它
"安政府主张明确规定停火日,而从停火到大选的期限则应在以后由安所有政治力量共同商定",期限由所有政治力量一起商定,安政府一再推迟停火日
"实施建筑能效提升、节能产品惠民工程,发展清洁生产、绿色低碳技术和循环经济,提高应对气候变化能力",竭尽力量提升应对气候变化的能力,实施经济为少数人带来利益的政策
"实行政务公开,加强民主管理和社会监督,充分发挥人民对政府的监督作用",实行政务公开的是政府,政府拒绝被监督
"对,咱懂都不懂人家搞的这个学术",人家搞了学术,我不单单懂他的学术
"对群众的这种积极性一要爱护,二要引导",要积极引导群众的积极性,我们倡导自由发展群众的积极性
"就你那点钱,现在你们还不行.",你的钱不多,"你们那点钱,也是可以的"
"就怕他面上不敢说,全部是心里的,我看那男孩儿刚才叼着烟那感觉,就是这类的,有刺青,你注意了吗",我看到那男孩,"那男的点烟的时候,我已经离开了"
"我不明白,我那能,那能明白.",我不明白这,所有事物我都能明白
"我昨天一看确实是,确实是什么武器我都见到了",我昨天见到很多类的武器,我昨天见到的全是厨具
"我觉得吧好多因为他有一些传闻的事情,到现在大家都不知道真的假的,好多问题",是真是假大家都不知道,传闻和大家对他的判断完全没联系
"打扮不时髦,却很干净",有打扮,她的妆容乱七八糟
"报告把中国政府为人民做的一些好事,也都说成是坏事,对中国的内部事务指手画脚",报告颠倒黑白,报告把中国政府做的事都说是好事
新华社记者朱克川,新华社有个记者叫朱克川,新华社的记者全都是姓田、姓陈的人。
"有了前进的目标,又有了航行的路线,如果不认真去操作,还是不能到达胜利的彼岸","达到胜利,需要有前进的目标、航行的路线、认真地操作",胜利的彼岸永远离我们很远
比北京的房子还值,北京有房子,北京的房子比这个值多了
"活了,可以为国家多做贡献",活了能为国家做贡献,"是生是死,就看命吧"
"而且是成都这大城市,这很有文化,天府之国,诸葛亮的故乡",诸葛亮去过成都,诸葛亮几十年来一直都在山东生活
"自己无能,回过头还得靠人家帮助解决,不太让人看不起了",自己解决不了的事有其他人能够解决,我超级厚脸皮的
"蒋丽莉伏在老张的背上,嗅到他很浓烈的脑油的气味,心里涌起一股软弱的温情",老张脑油味很重,蒋丽莉超级厌恶脑油味
"蒋丽莉违反驳的耐心都没了,一下子将床头灯摔了出去",蒋丽莉在房间里,摔床头灯的是蒋丽莉的情人
"要不说是武汉高校的嘛,我发现跟她有缘,我也经常被拉近黑名单,我这辈子就跟黑名单有缘",我和她都是武汉高校的,我其实是上海高校的
"过年的腊肉香里,就有着它的召唤","腊肉要香,少不了它",每次到过年的时候腊肉就发出一股臭味
"这一回轮到王琦瑶脸红了,红过了才说:那她才真是没福气呢",这次是王琦瑶脸红,只有王琦瑶脸红了
"这个东西我知道,没有给我太大的震撼",这个东西对我的震撼不太大,这个东西对我的震撼真是太大了
"这个任务,落在中国共产党的肩上,落在工会、共青团、妇联组织的肩上,落在每一个热爱社会主义祖国的人肩上",这个任务需要很多的努力,这个任务只是工会的私事
"这次,他打听了路线,几经艰辛,好容易游到岸边,可是什么也没看到,就被撵回来了",他到岸边什么也没看到,"他打听了路线,觉得异常艰辛,就一直在原地歇息"
"难得照看家里,这个节假日就算是将功补过吧",这有个节假日,照看家里的总是你
--保农副产品收购的资金,收购农副产品需要一定的资金,农副产品收购资金储备量没有下限
"《邓小平文选》第三卷的出版,是我国政治生活中的大事,我们要认真学习,并结合实际贯彻其精神",我国有政治生活,没有人整理过邓小平的文选
"不知道有没有这种可能性,啊.",对这件事没把握,明确知道可行度
中方的主将聂卫平也有可能第一次不用上场而结束比赛,聂卫平之前没有出现不上场就比赛结束的情况,比赛中各个运动员必须都要上场
他们呼吁港人在基本法的架构下同心协力建设香港,我国颁布了基本法,香港完全由大陆人建设
"但是,由于没有美、苏参加,各种努力均以失败告终",美苏的参加对成功与否有很大作用,美军的直接参与导致了事件的失败
"你看许老师,很喜欢的表情",许老师脸上有表情,许老师的表情总是很呆板也不讨人喜欢
"八,八百多块,那么,那么一.",对方有一笔八百多块的支出,对方的支出从来没有超过三百块的
